configuration,measurement_label,model,reasoning,max_tokens,stream,persistent_client,context_mode,cases,successes,failures,failure_rate,mean_prompt_tokens,mean_output_tokens,mean_reference_token_f1,citation_validity_rate,grounding_validity_rate,quality_method,error_codes,observed_request_n,observed_request_p50_ms,observed_request_p70_ms,observed_request_p95_ms,observed_request_p100_ms,observed_request_mean_ms,serialization_n,serialization_p50_ms,serialization_p70_ms,serialization_p95_ms,serialization_p100_ms,serialization_mean_ms,client_setup_n,client_setup_p50_ms,client_setup_p70_ms,client_setup_p95_ms,client_setup_p100_ms,client_setup_mean_ms,connection_n,connection_p50_ms,connection_p70_ms,connection_p95_ms,connection_p100_ms,connection_mean_ms,server_wait_n,server_wait_p50_ms,server_wait_p70_ms,server_wait_p95_ms,server_wait_p100_ms,server_wait_mean_ms,ttft_n,ttft_p50_ms,ttft_p70_ms,ttft_p95_ms,ttft_p100_ms,ttft_mean_ms,token_generation_n,token_generation_p50_ms,token_generation_p70_ms,token_generation_p95_ms,token_generation_p100_ms,token_generation_mean_ms,full_n,full_p50_ms,full_p70_ms,full_p95_ms,full_p100_ms,full_mean_ms,usable_n,usable_p50_ms,usable_p70_ms,usable_p95_ms,usable_p100_ms,usable_mean_ms,parsing_n,parsing_p50_ms,parsing_p70_ms,parsing_p95_ms,parsing_p100_ms,parsing_mean_ms,grounding_n,grounding_p50_ms,grounding_p70_ms,grounding_p95_ms,grounding_p100_ms,grounding_mean_ms
reasoning_none_current,ABLATION,sarvam-105b,none,192,True,False,top10,4,3,1,0.25,1917.6666666666667,70.0,0.4666666666666666,1.0,1.0,deterministic reference-token/citation/grounding proxies,ReadTimeout,4,1293.41105,4635.29249999999,25978.58549999999,30247.2441,8398.762275,3,0.1121,0.11398,0.11633,0.1168,0.09573333333333334,3,156.2605,178.0799,205.35415,210.809,173.4888,3,132.42759999999998,205.26055999999997,296.30175999999994,314.51,168.66426666666666,3,179.1135,229.16605999999996,291.73175999999995,304.2449,215.34406666666666,3,346.3183,486.82578,662.4601299999999,697.587,450.10786666666667,3,454.5646,709.512,1028.19625,1091.9331,665.8271333333333,3,797.302,1194.18924,1690.2982899999997,1789.5201,1115.935,3,797.3429,1194.2321399999998,1690.3436899999997,1789.5659999999998,1115.9769,3,0.0398,0.04172,0.04412,0.0446,0.04083333333333333,3,0.0011,0.00118,0.0012799999999999999,0.0013,0.0010666666666666667
reasoning_provider_default,ABLATION,sarvam-105b,provider_default,192,True,False,top10,4,0,4,1.0,,,,,,deterministic reference-token/citation/grounding proxies,invalid_structured_output,4,2476.06095,3245.717109999998,7992.226434999997,8941.5283,3957.30165,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
max_tokens_128,ABLATION,sarvam-105b,none,128,True,False,top10,4,4,0,0.0,1893.25,68.0,0.4666666666666667,1.0,1.0,deterministic reference-token/citation/grounding proxies,,4,879.84195,989.65982,1017.41372,1022.9645,830.816975,4,0.09705,0.13116,0.14211000000000001,0.1443,0.098375,4,154.78425,157.47819,158.084865,158.2062,154.351525,4,67.6729,69.30909999999999,80.1271,82.2907,68.893,4,130.25545,168.06106,171.17101,171.793,128.0216,4,252.05720000000002,292.62915,328.353525,335.4984,262.4992,4,603.9685,666.67286,788.26256,812.5805,568.317775,4,879.84195,989.65982,1017.41372,1022.9645,830.816975,4,879.87015,989.68152,1017.43242,1022.9826,830.8413,4,0.02205,0.023519999999999996,0.03191999999999999,0.0336,0.023875,4,0.0004,0.00042999999999999994,0.0006549999999999999,0.0007,0.00045
max_tokens_64,ABLATION,sarvam-105b,none,64,True,False,top10,4,3,1,0.25,1846.6666666666667,59.666666666666664,0.4888888888888889,1.0,1.0,deterministic reference-token/citation/grounding proxies,invalid_structured_output,4,818.1570999999999,862.7751599999999,923.82561,936.0357,807.440525,3,0.1344,0.13648,0.13908,0.1396,0.1239,3,154.8113,154.82806,154.84901,154.8532,154.24766666666665,3,78.42970000000001,80.81554000000001,83.79784000000001,84.3943,77.25343333333333,3,116.48359999999998,141.83324,173.52029000000002,179.85770000000002,128.61843333333334,3,237.9472,272.89632,316.58272,325.32,266.3853666666667,3,529.3151,596.82446,681.21116,698.0885,549.6423,3,854.6351,887.19534,927.89564,936.0357,816.0276666666667,3,854.6748,887.23224,927.92904,936.0684,816.0643666666666,3,0.0368,0.03764,0.038689999999999995,0.0389,0.035866666666666665,3,0.0008,0.00084,0.00089,0.0009,0.0008333333333333334
max_tokens_32,ABLATION,sarvam-105b,none,32,True,False,top10,4,0,4,1.0,,,,,,deterministic reference-token/citation/grounding proxies,ConnectTimeout;invalid_structured_output,4,9293.6072,18261.454279999998,20586.268129999997,21051.2309,10041.125974999999,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
non_streaming,ABLATION,sarvam-105b,none,192,False,False,top10,4,4,0,0.0,1899.25,68.5,0.6245614035087719,1.0,1.0,deterministic reference-token/citation/grounding proxies,,4,1236.0154499999999,1770.5038399999987,4610.838139999999,5178.905,2170.9289,4,0.10495,0.12207999999999998,0.15417999999999998,0.1606,0.108025,4,155.01415,156.60025,156.621625,156.6259,154.9967,4,118.8732,151.27031999999994,268.76921999999996,292.269,147.83005,4,1136.2058,1636.1915899999988,4501.233514999998,5074.2419,2021.31025,0,,,,,,0,,,,,,4,1236.0154499999999,1770.5038399999987,4610.838139999999,5178.905,2170.9289,4,1236.0319,1770.5191099999984,4610.853934999998,5178.920899999999,2170.9447499999997,4,0.01525,0.01577,0.017044999999999998,0.0173,0.015525,4,0.0003,0.00030999999999999995,0.000385,0.0004,0.000325
persistent_http,ABLATION,sarvam-105b,none,192,True,True,top10,4,4,0,0.0,1893.25,69.5,0.6245614035087719,1.0,1.0,deterministic reference-token/citation/grounding proxies,,4,2053.5123,3291.764579999999,5256.791429999999,5649.7968,2609.879775,4,0.08685000000000001,0.09033000000000001,0.090555,0.0906,0.086175,4,0.0005499999999999999,0.0006,0.0006,0.0006,0.000475,4,101.0875,110.30497999999999,152.67157999999998,161.1449,106.0256,4,172.872,198.86943999999997,265.34599,278.6413,174.85945,4,504.73545,799.0274699999997,1536.5037449999995,1683.999,730.125325,4,1548.7768500000002,2492.7371099999996,3720.2876849999993,3965.7978,1879.75445,4,2053.5123,3291.764579999999,5256.791429999999,5649.7968,2609.879775,4,2053.5389999999998,3291.790299999999,5256.824799999999,5649.831700000001,2609.9123,4,0.03125,0.03498,0.04008,0.0411,0.03195,4,0.0005499999999999999,0.0006099999999999999,0.000685,0.0007,0.000575
context_top5,ABLATION,sarvam-105b,none,192,True,False,top5,4,4,0,0.0,1088.25,86.0,0.21666666666666665,1.0,1.0,deterministic reference-token/citation/grounding proxies,,4,1227.004,1352.14044,1767.5214899999999,1850.5977,1295.14295,4,0.09645000000000001,0.09862,0.10702,0.1087,0.091225,4,155.17985,157.10792999999998,158.258655,158.4888,155.02215,4,81.91525,94.53524999999996,182.92762499999998,200.6061,111.106975,4,131.445,195.48834999999988,432.6004749999999,480.0229,203.41605,4,254.2584,328.6087899999999,622.6942149999999,681.5113,347.462675,4,832.1028,1134.9507199999998,1564.8043699999998,1650.7751,947.680275,4,1227.004,1352.14044,1767.5214899999999,1850.5977,1295.14295,4,1227.0340999999999,1352.1683899999998,1767.5543149999999,1850.6315,1295.175325,4,0.032549999999999996,0.03317,0.034445,0.0347,0.0316,4,0.0008,0.0008,0.0008,0.0008,0.0007750000000000001
context_top3,ABLATION,sarvam-105b,none,192,True,False,top3,4,4,0,0.0,704.75,79.0,0.13333333333333333,1.0,1.0,deterministic reference-token/citation/grounding proxies,,4,1044.74325,1262.8825000000002,1320.20425,1331.6686,1045.991975,4,0.06225,0.06660999999999999,0.09143499999999999,0.0964,0.06645,4,157.86175,159.17633,161.505305,161.9711,158.348025,4,77.0906,79.81154999999998,90.86317499999998,93.0735,76.9065,4,75.41305,77.41912,77.67202,77.7226,72.48972499999999,4,205.60969999999998,211.18496999999996,252.14899499999996,260.3418,216.11784999999998,4,818.11725,1068.71369,1116.595865,1126.1723,829.874125,4,1044.74325,1262.8825000000002,1320.20425,1331.6686,1045.991975,4,1044.7688,1262.91305,1320.234425,1331.6987000000001,1046.0162,4,0.02475,0.029539999999999997,0.02984,0.0299,0.0237,4,0.0005499999999999999,0.0006099999999999999,0.000685,0.0007,0.000525
compressed_top5,ABLATION,sarvam-105b,none,192,True,False,compressed_top5,4,4,0,0.0,701.25,60.0,0.19122807017543858,1.0,1.0,deterministic reference-token/citation/grounding proxies,,4,910.6233,926.9860699999999,1010.0580949999999,1026.6725,914.1383,4,0.07205,0.07702999999999999,0.085505,0.0872,0.06999999999999999,4,155.12075,155.76511,156.131185,156.2044,154.31742500000001,4,66.33175,69.05116999999998,84.81144499999999,87.9635,67.044375,4,114.26829999999998,144.8781,149.5626,150.4995,115.49234999999999,4,228.51695,262.15004999999996,281.923425,285.8781,233.8836,4,671.37305,733.87388,813.27248,829.1522,680.2547,4,910.6233,926.9860699999999,1010.0580949999999,1026.6725,914.1383,4,910.6426000000001,927.00788,1010.0882299999998,1026.7042999999999,914.162825,4,0.0238,0.02768,0.030529999999999998,0.0311,0.024075,4,0.0004,0.00042999999999999994,0.0006549999999999999,0.0007,0.00045
