measurement_label,component,stage,configuration,samples,p50_ms,p70_ms,p95_ms,p100_ms,mean_ms,notes
ABLATION,startup,embedding_model_and_index_initialization,cold_process,1,1991.3246,1991.3246,1991.3246,1991.3246,1991.3246,
ABLATION,retrieval,query_embedding,cold,1,272.2837,272.2837,272.2837,272.2837,272.2837,
ABLATION,retrieval,faiss_search,cold,1,0.705,0.705,0.705,0.705,0.705,
ABLATION,retrieval,evidence_guardrail,cold,1,0.0142,0.0142,0.0142,0.0142,0.0142,
ABLATION,retrieval,query_embedding,warm,35,9.5188,9.704659999999999,10.86986,11.1186,9.728457142857142,
ABLATION,retrieval,faiss_search,warm,35,0.5604,0.58926,0.6767299999999999,0.7627,0.5487314285714285,
ABLATION,retrieval,evidence_guardrail,warm,35,0.0069,0.00718,0.0081,0.01,0.007002857142857143,
ABLATION (pre-existing real-human smoke clip),stt,connection_setup,rest_new_connection,3,81.02090000000001,82.43014000000001,84.19169,84.544,74.11093333333334,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,audio_upload_or_send,rest_new_connection,3,111.92500000000001,118.63260000000001,127.01710000000001,128.69400000000002,115.89583333333333,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,vad_endpoint_detection,rest_new_connection,0,,,,,,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,server_processing,rest_new_connection,3,673.0871,714.31414,765.84794,776.1547,703.4247,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,eos_to_final_transcript,rest_new_connection,3,888.2439,919.0613000000001,957.5830500000001,965.2874,894.7293,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,connection_setup,rest_persistent_cold,1,69.0961,69.0961,69.0961,69.0961,69.0961,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,audio_upload_or_send,rest_persistent_cold,1,107.1886,107.1886,107.1886,107.1886,107.1886,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,vad_endpoint_detection,rest_persistent_cold,0,,,,,,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,server_processing,rest_persistent_cold,1,897.6984,897.6984,897.6984,897.6984,897.6984,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,eos_to_final_transcript,rest_persistent_cold,1,1074.9207,1074.9207,1074.9207,1074.9207,1074.9207,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,connection_setup,rest_persistent_warm,0,,,,,,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,audio_upload_or_send,rest_persistent_warm,2,0.70515,0.78737,0.890145,0.9107000000000001,0.70515,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,vad_endpoint_detection,rest_persistent_warm,0,,,,,,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,server_processing,rest_persistent_warm,2,693.8018,702.2805999999999,712.8791,714.9988,693.8018,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,eos_to_final_transcript,rest_persistent_warm,2,695.5273,703.8928999999999,714.3498999999999,716.4413,695.5273,speech duration is reported separately and excluded
